ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
10,0,60000,1000,11000,0.000300,0.00,98.71,98.79,32.50,30.40,35.56,36.55,90.71,91.15,36.10,36.00,69.21,68.98,87.55,88.16,79.80,79.20,73.75,73.56
11,2,60000,1000,12000,0.000300,0.00,98.71,98.79,59.40,58.80,37.55,38.40,87.55,88.16,33.70,38.40,70.41,70.63,87.46,88.04,75.20,73.60,73.51,73.43
12,2,60000,1000,13000,0.000300,0.00,98.71,98.79,34.80,34.80,37.34,38.12,87.46,88.04,37.60,37.20,70.75,70.65,86.99,87.33,72.60,77.60,75.10,75.57
13,0,60000,1000,14000,0.000300,0.00,98.71,98.79,56.00,60.00,38.67,39.69,86.99,87.33,48.80,50.40,73.22,73.77,83.45,83.63,88.90,89.20,72.79,73.89
14,2,60000,1000,15000,0.000300,0.00,98.71,98.79,38.60,37.60,38.67,39.55,83.45,83.63,48.90,48.00,71.20,72.16,81.92,82.02,88.80,86.80,72.38,72.19
15,2,60000,1000,16000,0.000300,0.00,98.71,98.79,28.80,25.60,38.05,38.67,81.92,82.02,13.00,10.80,68.67,68.35,82.46,82.94,58.60,58.80,71.69,71.75
16,0,60000,1000,17000,0.000400,0.00,98.71,98.79,41.20,39.20,38.24,38.71,82.46,82.94,7.90,5.20,67.94,67.84,85.39,85.46,61.80,58.00,76.16,75.72
17,2,60000,1000,18000,0.000300,0.00,98.71,98.79,29.60,26.80,37.76,38.04,85.39,85.46,43.30,41.20,74.34,73.80,89.58,89.91,71.50,69.60,71.78,71.38
18,1,60000,1000,19000,0.000400,0.00,98.71,98.79,19.00,23.60,36.77,37.28,89.58,89.91,2.10,2.80,68.12,67.77,87.42,88.17,65.10,67.20,74.29,74.00
19,0,60000,1000,20000,0.000400,0.00,98.71,98.79,37.80,37.60,36.82,37.30,87.42,88.17,4.00,2.40,70.78,70.42,89.37,89.99,61.60,62.40,73.16,72.60
20,0,60000,1000,21000,0.000400,0.00,98.71,98.79,30.90,30.40,36.54,36.97,89.37,89.99,16.80,17.60,70.48,69.98,90.96,91.72,65.00,66.00,73.60,73.07
21,1,60000,1000,22000,0.000400,0.00,98.71,98.79,36.00,37.20,36.51,36.98,90.96,91.72,41.60,43.60,72.15,71.73,90.48,91.13,74.30,69.20,73.70,73.09
22,1,60000,1000,23000,0.000400,0.00,98.71,98.79,33.20,28.80,36.37,36.63,90.48,91.13,28.20,25.60,71.72,71.03,87.82,88.81,76.80,75.20,74.54,73.84
23,0,60000,1000,24000,0.000400,0.00,98.71,98.79,23.40,23.60,35.83,36.08,87.82,88.81,0.00,0.00,71.43,70.77,93.49,93.80,35.50,34.80,71.22,70.55
24,0,60000,1000,25000,0.000500,0.00,98.71,98.79,25.60,27.60,35.42,35.74,93.49,93.80,37.00,38.40,69.85,69.26,92.50,93.09,85.90,87.20,75.12,74.56
25,2,60000,1000,26000,0.000500,0.00,98.71,98.79,26.80,27.60,35.09,35.43,92.50,93.09,28.10,25.60,73.32,72.68,92.48,93.02,64.00,58.40,74.93,73.69
26,2,60000,1000,27000,0.000400,0.00,98.71,98.79,41.10,44.00,35.31,35.75,92.48,93.02,27.80,26.40,73.19,71.94,93.67,94.06,77.80,75.60,71.83,70.96
27,1,60000,1000,28000,0.000400,0.00,98.71,98.79,17.20,16.40,34.66,35.06,93.67,94.06,18.00,21.60,69.90,69.20,92.70,93.12,65.80,67.20,71.94,71.39
28,2,60000,1000,29000,0.000400,0.00,98.71,98.79,19.50,21.60,34.14,34.59,92.70,93.12,32.60,34.00,70.59,70.10,92.58,93.05,66.60,64.40,71.97,70.90
29,2,60000,1000,30000,0.000400,0.00,98.71,98.79,13.90,18.80,33.47,34.07,92.58,93.05,13.60,17.20,70.02,69.11,92.97,93.46,48.80,51.60,71.13,70.16
