ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000100,0.00,98.71,98.79,22.10,25.20,22.10,25.20,98.71,98.79,22.10,25.20,22.10,25.20,96.86,96.85,84.70,83.20,84.70,83.20
1,2,60000,1000,2000,0.000100,0.00,98.71,98.79,24.50,25.60,23.30,25.40,96.86,96.85,8.50,8.00,46.60,45.60,96.94,97.11,86.90,86.80,79.50,78.80
2,1,60000,1000,3000,0.000200,0.00,98.71,98.79,44.70,48.80,30.43,33.20,96.94,97.11,30.70,32.80,63.23,63.47,94.82,95.19,95.40,96.80,84.40,81.87
3,1,60000,1000,4000,0.000100,0.00,98.71,98.79,34.00,35.60,31.32,33.80,94.82,95.19,40.10,43.60,73.33,72.30,93.89,94.23,81.20,80.80,70.40,71.50
4,2,60000,1000,5000,0.000100,0.00,98.71,98.79,38.00,36.40,32.66,34.32,93.89,94.23,19.30,20.00,60.18,61.20,94.09,94.59,69.20,69.20,69.44,70.48
5,2,60000,1000,6000,0.000100,0.00,98.71,98.79,51.50,48.40,35.80,36.67,94.09,94.59,47.70,43.60,65.82,66.00,95.18,95.41,78.10,76.00,71.48,72.00
6,1,60000,1000,7000,0.000200,0.00,98.71,98.79,21.60,22.40,33.77,34.63,95.18,95.41,5.10,4.00,62.00,62.29,87.99,88.04,69.30,68.40,76.21,75.31
7,0,60000,1000,8000,0.000300,0.00,98.71,98.79,43.20,44.80,34.95,35.90,87.99,88.04,17.40,14.80,68.86,67.75,84.66,84.72,84.00,85.20,77.16,76.75
8,0,60000,1000,9000,0.000300,0.00,98.71,98.79,28.40,28.00,34.22,35.02,84.66,84.72,0.00,0.40,68.59,68.27,90.98,91.38,62.40,58.00,73.77,73.69
9,0,60000,1000,10000,0.000300,0.00,98.71,98.79,50.70,56.40,35.87,37.16,90.98,91.38,36.80,33.60,70.07,69.68,90.71,91.15,97.70,97.20,72.52,72.28
