current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.090000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.610000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 36.030000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.280000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.770000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.730000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 56.920000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.040000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.990000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.670000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 40.840000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.410000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.740000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.550000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 70.580000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.700000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.620000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.070000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 56.280000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.930000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.930000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.530000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 55.600000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.420000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.930000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.590000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 68.690000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.270000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.130000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.010000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 59.850000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.090000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.120000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.320000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 54.810000
1, 60000, 0.500000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.300000
