task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task, new_data_size
1, 0.000000, 0.001000, 80.020000, 80.630000, 45000
1, 1.000000, 0.001000, 94.750000, 76.230000, 45000
1, 2.000000, 0.001000, 95.590000, 74.580000, 45000
1, 3.000000, 0.001000, 95.670000, 72.750000, 45000
1, 4.000000, 0.001000, 95.840000, 71.380000, 45000
1, 5.000000, 0.001000, 95.900000, 70.050000, 45000
1, 6.000000, 0.001000, 96.010000, 68.320000, 45000
1, 7.000000, 0.001000, 96.200000, 67.040000, 45000
1, 8.000000, 0.001000, 96.250000, 65.850000, 45000
1, 9.000000, 0.001000, 96.370000, 63.970000, 45000
1, 10.000000, 0.001000, 96.520000, 63.820000, 45000
1, 11.000000, 0.001000, 96.600000, 63.000000, 45000
1, 12.000000, 0.001000, 96.720000, 61.730000, 45000
1, 13.000000, 0.001000, 96.710000, 61.190000, 45000
1, 14.000000, 0.001000, 96.710000, 59.480000, 45000
1, 15.000000, 0.001000, 96.900000, 58.430000, 45000
1, 16.000000, 0.001000, 96.980000, 57.630000, 45000
1, 17.000000, 0.001000, 97.030000, 56.960000, 45000
1, 18.000000, 0.001000, 97.170000, 55.480000, 45000
1, 19.000000, 0.001000, 97.160000, 55.810000, 45000
