task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task, new_data_size
1, 0.000000, 0.001000, 97.930000, 9.500000, 600
1, 1.000000, 0.001000, 97.950000, 9.666667, 600
1, 2.000000, 0.001000, 97.930000, 10.000000, 600
1, 3.000000, 0.001000, 97.910000, 10.166667, 600
1, 4.000000, 0.001000, 97.900000, 10.000000, 600
1, 5.000000, 0.001000, 97.910000, 10.166667, 600
1, 6.000000, 0.001000, 97.930000, 10.166667, 600
1, 7.000000, 0.001000, 97.940000, 10.000000, 600
1, 8.000000, 0.001000, 97.910000, 10.000000, 600
1, 9.000000, 0.001000, 97.920000, 10.500000, 600
1, 10.000000, 0.001000, 98.000000, 10.166667, 600
1, 11.000000, 0.001000, 97.970000, 10.166667, 600
1, 12.000000, 0.001000, 97.940000, 9.666667, 600
1, 13.000000, 0.001000, 97.940000, 9.666667, 600
1, 14.000000, 0.001000, 98.000000, 10.500000, 600
1, 15.000000, 0.001000, 98.050000, 10.666667, 600
1, 16.000000, 0.001000, 97.940000, 10.000000, 600
1, 17.000000, 0.001000, 97.990000, 9.500000, 600
1, 18.000000, 0.001000, 97.940000, 9.833333, 600
1, 19.000000, 0.001000, 98.010000, 10.333333, 600
