current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.060000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.400000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 18.150000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.520000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.750000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.660000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 19.620000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.030000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.040000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.730000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 13.290000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.510000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.670000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.730000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 16.070000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.820000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.550000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.130000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 12.760000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.900000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.920000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.380000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 15.930000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.930000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.790000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.590000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 27.280000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.870000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.160000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.180000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 16.790000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.960000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.090000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.250000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 13.400000
1, 60000, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.790000
