ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000200,100.00,98.70,98.79,0.80,0.00,0.80,0.00,98.70,98.79,0.80,0.00,0.80,0.00,97.00,97.32,76.10,73.60,76.10,73.60
1,0,60000,1000,2000,0.000400,80.00,98.70,98.79,28.40,30.00,14.60,15.00,97.00,97.32,35.70,39.60,55.90,56.60,83.35,84.13,98.50,99.20,72.80,71.00
2,1,60000,1000,3000,0.000500,100.00,98.70,98.79,39.80,37.20,23.00,22.40,83.35,84.13,2.00,1.20,49.20,47.73,81.85,82.48,92.20,93.20,73.33,71.33
3,2,60000,1000,4000,0.000800,40.00,98.70,98.79,18.60,16.80,21.90,21.00,81.85,82.48,14.30,12.40,58.58,56.60,71.44,72.17,81.60,79.20,72.45,71.20
4,0,60000,1000,5000,0.000600,10.00,98.70,98.79,36.90,39.20,24.90,24.64,71.44,72.17,0.10,0.00,57.98,56.96,80.25,81.08,80.50,78.00,73.66,71.60
5,2,60000,1000,6000,0.002000,50.00,98.70,98.79,33.80,36.00,26.38,26.53,80.25,81.08,0.00,0.00,61.38,59.67,82.51,83.07,63.60,67.60,72.75,70.87
6,2,60000,1000,7000,0.002000,30.00,98.70,98.79,40.40,46.40,28.39,29.37,82.51,83.07,0.00,0.00,62.36,60.74,83.08,83.61,70.50,72.40,71.99,70.46
7,1,60000,1000,8000,0.003000,30.00,98.70,98.79,17.80,18.00,27.06,27.95,83.08,83.61,8.00,7.60,63.99,62.60,80.14,80.69,91.40,92.80,72.04,72.60
8,2,60000,1000,9000,0.003000,30.00,98.70,98.79,17.60,17.20,26.01,26.76,80.14,80.69,0.00,0.40,64.03,64.58,82.12,82.75,87.30,88.00,72.52,72.67
9,0,60000,1000,10000,0.003000,20.00,98.70,98.79,46.60,45.20,28.07,28.60,82.12,82.75,0.00,0.00,65.27,65.40,91.44,92.23,75.80,74.80,73.20,72.56
