current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.100000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.530000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 55.030000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.970000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.740000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.650000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 59.400000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.470000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.980000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.740000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 37.660000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.730000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.740000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.940000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 74.150000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.200000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.630000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.690000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 83.180000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.390000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.930000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.710000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 52.110000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.210000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.890000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.590000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 79.290000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.090000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.040000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.300000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 61.830000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.410000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.080000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.280000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 81.770000
1, 60000, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.300000
