ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,500,1000,0.000700,100.00,98.71,98.77,0.80,0.00,0.80,0.00,98.71,98.77,0.80,0.00,0.80,0.00,93.08,93.58,95.30,94.80,95.30,94.80
1,0,60000,1000,2000,0.000200,5.00,98.71,98.77,26.00,27.20,13.40,13.60,93.08,93.58,16.00,19.60,55.65,57.20,72.14,72.77,94.60,94.40,75.95,74.20
2,1,60000,1000,3000,0.000200,5.00,98.71,98.77,40.40,37.60,22.40,21.60,72.14,72.77,0.00,0.00,50.63,49.47,76.24,77.02,95.40,94.80,77.87,74.93
3,2,60000,500,4000,0.000700,10.00,98.71,98.77,18.00,18.00,21.30,20.70,76.24,77.02,3.10,3.60,59.17,57.10,69.03,69.64,83.70,82.80,70.20,69.20
4,0,60000,100,5000,0.010000,5.00,98.71,98.77,38.20,40.00,24.68,24.56,69.03,69.64,0.00,0.00,56.16,55.36,75.91,76.39,85.40,83.60,79.12,76.08
5,2,60000,1000,6000,0.000700,1.00,98.71,98.77,34.40,37.60,26.30,26.73,75.91,76.39,0.50,0.40,66.02,63.47,74.29,74.61,64.40,67.20,77.75,75.33
6,2,60000,100,7000,0.010000,1.00,98.71,98.77,43.00,48.40,28.69,29.83,74.29,74.61,0.00,0.00,66.64,64.57,74.46,74.91,78.50,78.40,76.07,75.20
7,1,60000,1000,8000,0.000500,0.00,98.71,98.77,19.90,20.00,27.59,28.60,74.46,74.91,6.60,5.20,67.39,66.45,70.86,70.59,92.60,91.60,69.08,68.40
8,2,60000,100,9000,0.010000,1.00,98.71,98.77,18.30,18.00,26.56,27.42,70.86,70.59,0.00,0.00,61.40,60.80,72.91,73.42,93.20,92.40,73.44,72.04
9,0,60000,500,10000,0.010000,10.00,98.71,98.77,44.10,43.60,28.31,29.04,72.91,73.42,0.30,0.00,66.13,64.84,85.21,85.74,91.10,87.60,88.92,88.08
