current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.110000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.680000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 46.050000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.660000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.760000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.910000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 71.180000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.640000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.000000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.560000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 35.620000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.070000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.770000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.690000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 81.980000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.430000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.620000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 8.070000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 79.480000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.150000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.940000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.600000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 64.870000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.780000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.850000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.730000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 75.700000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 87.520000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.100000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.330000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 75.730000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.510000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.160000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.580000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 79.790000
1, 60000, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.470000
