current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.170000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.360000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 54.280000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.960000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.730000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.410000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 64.880000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.930000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.980000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.500000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 50.890000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.720000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.760000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.920000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 81.630000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.010000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.640000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.310000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 85.160000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.820000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.960000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.770000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 36.170000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.160000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.990000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.730000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 64.800000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 86.310000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.130000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.580000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 77.430000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.070000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.150000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.660000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 82.620000
1, 60000, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 87.170000
