task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task
1, 0.000000, 0.010000, 21.440000, 92.270000
1, 1.000000, 0.010000, 75.510000, 89.950000
1, 2.000000, 0.010000, 84.880000, 88.690000
1, 3.000000, 0.010000, 83.960000, 87.870000
1, 4.000000, 0.010000, 86.100000, 87.520000
1, 5.000000, 0.010000, 86.170000, 86.880000
1, 6.000000, 0.010000, 88.900000, 86.340000
1, 7.000000, 0.010000, 87.270000, 86.180000
1, 8.000000, 0.010000, 85.980000, 85.380000
1, 9.000000, 0.010000, 86.760000, 84.580000
1, 10.000000, 0.010000, 83.320000, 84.380000
1, 11.000000, 0.010000, 82.740000, 83.720000
1, 12.000000, 0.010000, 9.800000, 9.800000
1, 13.000000, 0.010000, 9.800000, 9.800000
1, 14.000000, 0.010000, 9.800000, 9.800000
1, 15.000000, 0.010000, 9.800000, 9.800000
1, 16.000000, 0.010000, 9.800000, 9.800000
1, 17.000000, 0.010000, 9.800000, 9.800000
1, 18.000000, 0.010000, 9.800000, 9.800000
1, 19.000000, 0.010000, 9.800000, 9.800000
