ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000500,0.00,98.73,98.74,0.60,0.00,0.60,0.00,98.73,98.74,0.60,0.00,0.60,0.00,13.25,13.49,100.00,100.00,100.00,100.00
1,0,60000,1000,2000,0.000100,0.00,98.73,98.74,27.00,29.20,13.80,14.60,13.25,13.49,0.00,0.00,50.00,50.00,86.29,86.69,95.90,98.00,63.80,63.60
2,1,60000,1000,3000,0.010000,10.00,98.73,98.74,38.40,35.20,22.00,21.47,86.29,86.69,0.00,0.00,42.53,42.40,39.57,39.61,99.90,100.00,99.97,100.00
3,2,60000,1000,4000,0.010000,10.00,98.73,98.74,18.60,17.60,21.15,20.50,39.57,39.61,2.40,3.60,75.58,75.90,24.83,24.87,96.70,94.80,99.03,98.40
4,0,60000,1000,5000,0.010000,10.00,98.73,98.74,36.00,37.60,24.12,23.92,24.83,24.87,0.00,0.00,79.22,78.72,46.77,46.55,98.80,98.00,99.38,98.88
5,2,60000,1000,6000,0.010000,10.00,98.73,98.74,32.90,34.80,25.58,25.73,46.77,46.55,0.00,0.00,82.82,82.40,44.63,44.56,94.40,91.20,98.48,97.40
6,2,60000,1000,7000,0.010000,10.00,98.73,98.74,40.80,46.40,27.76,28.69,44.63,44.56,0.00,0.00,84.41,83.49,49.46,49.35,92.80,89.20,97.47,96.06
7,1,60000,1000,8000,0.010000,10.00,98.73,98.74,18.20,17.60,26.56,27.30,49.46,49.35,0.00,0.00,85.29,84.05,58.99,59.04,99.60,99.60,95.94,95.30
8,2,60000,1000,9000,0.010000,10.00,98.73,98.74,18.20,17.20,25.63,26.18,58.99,59.04,0.00,0.00,85.28,84.71,63.45,63.57,97.50,98.40,94.38,94.13
9,0,60000,1000,10000,0.010000,10.00,98.73,98.74,46.10,46.40,27.68,28.20,63.45,63.57,0.00,0.00,84.94,84.72,72.51,72.45,98.60,95.60,94.03,92.84
