task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task
1, 0.000000, 0.010000, 20.650000, 92.600000
1, 0.250000, 0.010000, 75.270000, 90.870000
1, 0.500000, 0.010000, 76.390000, 90.690000
1, 0.750000, 0.010000, 83.810000, 89.730000
1, 1.000000, 0.010000, 79.400000, 89.700000
1, 1.250000, 0.010000, 80.470000, 89.180000
1, 1.500000, 0.010000, 82.670000, 88.690000
1, 1.750000, 0.010000, 82.960000, 88.620000
1, 2.000000, 0.010000, 86.310000, 88.500000
1, 2.250000, 0.010000, 83.110000, 88.090000
1, 2.500000, 0.010000, 85.040000, 88.100000
1, 2.750000, 0.010000, 85.610000, 88.210000
1, 3.000000, 0.010000, 84.690000, 87.870000
1, 3.250000, 0.010000, 85.640000, 87.190000
1, 3.500000, 0.010000, 82.340000, 87.920000
1, 3.750000, 0.010000, 83.810000, 87.140000
1, 4.000000, 0.010000, 81.770000, 87.360000
1, 4.250000, 0.010000, 83.960000, 86.910000
1, 4.500000, 0.010000, 82.480000, 86.030000
1, 4.750000, 0.010000, 84.760000, 86.500000
1, 5.000000, 0.010000, 83.740000, 86.340000
1, 5.250000, 0.010000, 85.030000, 86.340000
1, 5.500000, 0.010000, 82.780000, 86.250000
1, 5.750000, 0.010000, 83.180000, 86.050000
1, 6.000000, 0.010000, 86.070000, 85.400000
1, 6.250000, 0.010000, 88.490000, 86.340000
1, 6.500000, 0.010000, 87.750000, 85.320000
1, 6.750000, 0.010000, 86.280000, 85.730000
1, 7.000000, 0.010000, 86.610000, 85.510000
1, 7.250000, 0.010000, 86.270000, 85.200000
1, 7.500000, 0.010000, 90.840000, 85.370000
1, 7.750000, 0.010000, 85.040000, 85.100000
1, 8.000000, 0.010000, 84.980000, 85.240000
1, 8.250000, 0.010000, 89.530000, 84.100000
1, 8.500000, 0.010000, 88.980000, 84.900000
1, 8.750000, 0.010000, 86.000000, 84.930000
1, 9.000000, 0.010000, 87.320000, 84.390000
1, 9.250000, 0.010000, 88.700000, 84.380000
1, 9.500000, 0.010000, 89.570000, 84.130000
1, 9.750000, 0.010000, 88.040000, 84.480000
1, 10.000000, 0.010000, 87.010000, 84.200000
1, 10.250000, 0.010000, 85.980000, 83.900000
1, 10.500000, 0.010000, 88.070000, 83.910000
1, 10.750000, 0.010000, 88.000000, 83.910000
