ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,500,1000,0.000500,100.00,98.70,98.80,1.10,1.20,1.10,1.20,98.70,98.80,1.10,1.20,1.10,1.20,95.43,95.86,85.70,84.00,85.70,84.00
1,0,60000,100,2000,0.000700,10.00,98.70,98.80,28.10,29.20,14.60,15.20,95.43,95.86,29.60,33.20,57.65,58.60,95.11,95.53,98.80,99.60,54.90,54.40
2,1,60000,100,3000,0.000700,100.00,98.70,98.80,40.70,38.80,23.30,23.07,95.11,95.53,10.70,11.20,40.17,40.00,95.89,96.24,83.60,86.00,48.83,47.87
3,2,60000,100,4000,0.000700,100.00,98.70,98.80,18.40,19.20,22.07,22.10,95.89,96.24,30.30,31.60,44.20,43.80,95.72,95.84,67.90,68.40,47.12,49.00
4,0,60000,500,5000,0.000100,0.00,98.70,98.80,37.30,38.40,25.12,25.36,95.72,95.84,21.40,19.60,41.98,43.12,95.13,95.36,45.80,44.80,46.90,48.16
5,2,60000,500,6000,0.000500,100.00,98.70,98.80,34.10,35.60,26.62,27.07,95.13,95.36,16.70,20.80,41.87,43.60,95.10,95.33,52.70,57.60,48.47,50.13
6,2,60000,500,7000,0.000500,100.00,98.70,98.80,42.20,48.80,28.84,30.17,95.10,95.33,14.90,15.20,43.67,45.14,95.58,95.80,55.70,60.00,47.10,48.29
7,1,60000,500,8000,0.000500,100.00,98.70,98.80,19.20,19.60,27.64,28.85,95.58,95.80,19.60,20.00,43.66,44.75,94.88,95.02,47.50,46.80,46.79,47.45
8,2,60000,500,9000,0.000700,100.00,98.70,98.80,18.00,18.00,26.57,27.64,94.88,95.02,5.70,5.60,42.22,42.80,95.11,95.18,28.40,28.80,45.63,46.67
9,0,60000,1000,10000,0.000500,10.00,98.70,98.80,44.00,43.20,28.31,29.20,95.11,95.18,6.20,3.60,41.69,42.36,95.04,95.57,50.50,43.60,56.37,55.88
