current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.090000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.550000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 43.210000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.240000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.730000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.610000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 76.670000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.690000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.040000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.690000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 54.080000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.030000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.760000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.550000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 85.210000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 86.370000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.670000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.960000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 88.190000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.020000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.930000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.690000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.900000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.580000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.070000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.150000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.190000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.130000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 89.160000
1, 60000, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 83.070000
