current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.210000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.480000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 34.960000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 92.020000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.680000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.790000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 59.200000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.710000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.940000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.410000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 47.950000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.380000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.720000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.470000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 74.930000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 90.270000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.590000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.890000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 75.440000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.900000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.990000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.440000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 56.120000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.290000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.890000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.520000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 67.790000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.690000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.060000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.520000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 76.000000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 91.130000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.180000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.330000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 74.520000
1, 60000, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 89.120000
