retraining_dataset_no, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, dataset_no, dataset_size, acc
2, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 11.680000
2, 0.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 90.330000
2, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 41.530000
2, 1.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 90.050000
2, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 38.570000
2, 2.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 89.620000
2, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 42.460000
2, 3.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 89.540000
2, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 40.380000
2, 4.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 89.370000
2, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 42.570000
2, 5.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 88.930000
2, 6.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 37.400000
2, 6.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 88.910000
2, 7.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 46.480000
2, 7.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 88.560000
2, 8.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 45.690000
2, 8.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 88.080000
2, 9.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 40.850000
2, 9.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 88.300000
2, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 49.120000
2, 10.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.730000
2, 11.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 48.740000
2, 11.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.560000
2, 12.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 47.350000
2, 12.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.470000
2, 13.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 50.070000
2, 13.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.600000
2, 14.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 53.110000
2, 14.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.220000
2, 15.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 47.710000
2, 15.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 86.970000
2, 16.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 52.690000
2, 16.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 87.200000
2, 17.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 49.330000
2, 17.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 86.690000
2, 18.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 43.440000
2, 18.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 86.170000
2, 19.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 9000, 51.510000
2, 19.000000, 0.010000, 0.900000, 0.010000, 0.900000, 2, 30000, 86.110000
