ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000200,50.00,98.70,98.82,1.00,0.40,1.00,0.40,98.70,98.82,1.00,0.40,1.00,0.40,95.15,95.56,87.60,86.40,87.60,86.40
1,0,60000,1000,2000,0.000100,30.00,98.70,98.82,26.20,28.40,13.60,14.40,95.15,95.56,31.60,34.40,59.60,60.40,94.83,95.20,95.90,95.20,58.85,55.60
2,1,60000,1000,3000,0.000100,50.00,98.70,98.82,40.20,37.20,22.47,22.00,94.83,95.20,8.10,8.80,41.93,40.00,94.93,95.03,80.80,83.20,47.97,47.60
3,2,60000,1000,4000,0.000100,100.00,98.70,98.82,18.60,16.80,21.50,20.70,94.93,95.03,26.50,24.80,42.60,41.90,94.83,95.07,66.20,66.80,47.70,49.30
4,0,60000,1000,5000,0.000100,30.00,98.70,98.82,38.70,40.00,24.94,24.56,94.83,95.07,19.10,18.40,41.98,43.12,94.88,95.11,49.90,48.80,48.32,49.04
5,2,60000,1000,6000,0.000300,80.00,98.70,98.82,34.70,36.40,26.57,26.53,94.88,95.11,15.80,20.00,42.90,44.20,94.72,95.02,51.20,52.40,50.17,51.13
6,2,60000,1000,7000,0.000200,30.00,98.70,98.82,42.50,50.80,28.84,30.00,94.72,95.02,24.00,25.20,46.43,47.43,94.93,95.13,64.30,70.00,49.91,51.31
7,1,60000,1000,8000,0.000300,60.00,98.70,98.82,19.50,19.60,27.68,28.70,94.93,95.13,16.20,16.00,45.70,46.90,94.86,95.00,49.20,46.80,47.90,48.50
8,2,60000,1000,9000,0.000400,60.00,98.70,98.82,17.70,18.00,26.57,27.51,94.86,95.00,2.90,3.20,42.90,43.47,95.08,95.02,39.40,43.20,47.51,48.98
9,0,60000,1000,10000,0.001000,20.00,98.70,98.82,42.60,42.40,28.17,29.00,95.08,95.02,6.50,4.00,43.41,44.48,94.53,95.11,53.10,52.40,58.31,58.32
