ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000200,10.00,98.72,98.78,1.20,0.80,1.20,0.80,98.72,98.78,1.20,0.80,1.20,0.80,90.26,90.95,100.00,98.80,100.00,98.80
1,0,60000,1000,2000,0.000100,5.00,98.72,98.78,27.60,28.40,14.40,14.60,90.26,90.95,13.60,17.60,56.80,58.20,89.63,90.23,97.60,98.40,61.10,58.80
2,1,60000,100,3000,0.000700,10.00,98.72,98.78,40.30,36.80,23.03,22.00,89.63,90.23,2.50,0.80,41.57,39.47,90.00,90.16,88.70,90.80,58.07,56.40
3,2,60000,100,4000,0.000700,10.00,98.72,98.78,18.10,19.60,21.80,21.40,90.00,90.16,17.60,16.80,47.95,46.50,90.00,90.25,67.10,70.40,51.05,52.50
4,0,60000,500,5000,0.000700,100.00,98.72,98.78,36.50,38.00,24.74,24.72,90.00,90.25,10.50,10.40,42.94,44.08,93.64,93.96,60.10,59.60,54.02,54.16
5,2,60000,1000,6000,0.000700,100.00,98.72,98.78,34.40,35.20,26.35,26.47,93.64,93.96,6.30,7.20,46.07,46.33,91.81,92.17,51.40,53.20,56.62,56.47
6,2,60000,500,7000,0.000500,10.00,98.72,98.78,39.00,45.20,28.16,29.14,91.81,92.17,4.10,3.60,49.11,48.91,90.40,91.00,63.90,67.20,55.26,56.46
7,1,60000,1000,8000,0.000700,100.00,98.72,98.78,17.80,17.60,26.86,27.70,90.40,91.00,15.70,16.80,50.31,51.50,93.33,93.51,60.00,58.00,52.24,53.25
8,2,60000,1000,9000,0.000200,5.00,98.72,98.78,17.90,17.60,25.87,26.58,93.33,93.51,2.90,2.80,46.76,47.64,91.02,91.03,49.60,50.80,52.49,53.24
9,0,60000,1000,10000,0.000700,1.00,98.72,98.78,44.60,44.80,27.74,28.40,91.02,91.03,4.60,2.80,47.70,48.20,89.75,90.50,78.30,74.80,71.23,70.36
