current_training_dataset_no, current_training_dataset_size, ewc_lambda, lr_init, momentum_init, lr_cont, momentum_cont, evaluation_dataset_no, evaluation_dataset_size, acc
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 95.170000
0, 12000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 5.530000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 64.230000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 87.450000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.710000
0, 18000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.540000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 67.820000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 88.910000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 96.980000
0, 24000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.750000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.780000
0, 30000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.640000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 88.100000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 84.800000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.640000
0, 36000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.350000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.920000
0, 42000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.650000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 97.900000
0, 48000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.990000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.100000
0, 54000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 6.390000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 0, 10000, 98.120000
0, 60000, 0.000000, 0.010000, 0.900000, 0.000000, 0.000000, 1, 10000, 7.650000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 0, 10000, 9.800000
1, 60000, 20.000000, 0.010000, 0.900000, 0.010000, 0.900000, 1, 10000, 9.800000
