ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,1000,1000,0.000200,0.00,98.70,98.76,0.80,0.00,0.80,0.00,98.70,98.76,0.80,0.00,0.80,0.00,78.93,79.80,100.00,100.00,100.00,100.00
1,0,60000,1000,2000,0.000200,0.00,98.70,98.76,26.30,28.80,13.55,14.40,78.93,79.80,1.40,1.20,50.70,50.60,56.85,57.01,95.50,96.00,81.40,80.00
2,1,60000,1000,3000,0.000200,0.00,98.70,98.76,39.50,37.60,22.20,22.13,56.85,57.01,0.00,0.00,54.27,53.33,67.15,67.34,96.40,96.40,82.73,80.53
3,2,60000,1000,4000,0.000300,0.00,98.70,98.76,18.40,19.20,21.25,21.40,67.15,67.34,6.30,6.00,63.62,61.90,45.03,45.35,83.10,81.60,77.42,74.80
4,0,60000,1000,5000,0.000300,0.00,98.70,98.76,37.50,40.00,24.50,25.12,45.03,45.35,0.00,0.00,61.94,59.84,77.61,78.26,80.50,78.80,72.94,70.08
5,2,60000,1000,6000,0.000500,0.00,98.70,98.76,33.00,32.40,25.92,26.33,77.61,78.26,0.00,0.00,60.78,58.40,71.68,71.49,65.10,68.40,74.87,73.60
6,2,60000,1000,7000,0.000500,0.00,98.70,98.76,39.60,47.60,27.87,29.37,71.68,71.49,0.00,0.00,64.17,63.09,74.66,74.56,66.60,65.60,72.37,71.94
7,1,60000,1000,8000,0.000600,0.00,98.70,98.76,18.20,18.00,26.66,27.95,74.66,74.56,5.00,3.60,63.95,63.40,67.52,67.27,94.80,93.20,71.49,70.65
8,2,60000,1000,9000,0.000600,0.00,98.70,98.76,17.90,16.80,25.69,26.71,67.52,67.27,0.00,0.00,63.54,62.80,72.64,72.79,89.80,91.20,73.01,72.67
9,0,60000,1000,10000,0.000600,0.00,98.70,98.76,45.10,44.80,27.63,28.52,72.64,72.79,0.00,0.40,65.71,65.44,83.08,83.18,71.10,66.80,71.98,70.12
