ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data
0,2,60000,500,500,0.000400,0.00,98.69,98.76,1.00,0.00,1.40,0.00,98.69,98.76,1.00,0.00,1.40,0.00,85.64,86.20,100.00,100.00,100.00,100.00
1,0,60000,500,1000,0.000700,90.00,98.69,98.76,26.80,29.20,14.30,14.60,85.64,86.20,7.90,8.80,54.00,54.40,85.63,85.78,96.50,97.20,73.10,70.20
2,1,60000,500,1500,0.000800,100.00,98.69,98.76,39.30,38.00,23.40,22.40,85.63,85.78,2.70,2.00,49.73,47.47,85.02,85.60,93.20,94.00,71.73,67.60
3,2,60000,500,2000,0.000700,100.00,98.69,98.76,17.50,17.60,22.15,21.20,85.02,85.60,14.00,12.40,57.10,53.80,84.66,85.32,81.30,79.20,57.00,56.80
4,0,60000,500,2500,0.000900,30.00,98.69,98.76,37.50,38.80,25.40,24.72,84.66,85.32,3.80,4.00,46.40,46.24,85.33,85.79,67.80,67.60,62.48,61.36
5,2,60000,500,3000,0.002000,50.00,98.69,98.76,35.00,34.80,27.00,26.40,85.33,85.79,2.80,3.20,52.50,51.67,85.16,85.53,57.30,64.40,61.73,62.07
6,2,60000,500,3500,0.003000,40.00,98.69,98.76,40.50,48.00,28.74,29.49,85.16,85.53,1.30,0.80,53.06,53.31,84.62,85.04,70.80,75.20,64.26,65.09
7,1,60000,500,4000,0.003000,50.00,98.69,98.76,19.20,17.60,27.60,28.00,84.62,85.04,13.00,13.20,57.67,58.60,85.58,85.76,74.80,72.00,60.73,60.50
8,2,60000,500,4500,0.003000,40.00,98.69,98.76,18.30,18.80,26.40,26.98,85.58,85.76,2.10,2.40,54.20,54.04,84.63,85.11,71.60,71.20,61.60,60.76
9,0,60000,500,5000,0.009000,10.00,98.69,98.76,43.70,42.80,28.12,28.56,84.63,85.11,0.20,0.00,55.46,54.68,84.68,85.35,94.00,91.20,87.84,85.00
