task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task, new_data_size
1, 0.000000, 0.001000, 87.810000, 75.420000, 30000
1, 1.000000, 0.001000, 95.550000, 68.880000, 30000
1, 2.000000, 0.001000, 96.150000, 66.010000, 30000
1, 3.000000, 0.001000, 96.360000, 64.570000, 30000
1, 4.000000, 0.001000, 96.750000, 62.570000, 30000
1, 5.000000, 0.001000, 96.900000, 61.150000, 30000
1, 6.000000, 0.001000, 96.960000, 60.060000, 30000
1, 7.000000, 0.001000, 96.970000, 57.950000, 30000
1, 8.000000, 0.001000, 97.100000, 56.000000, 30000
1, 9.000000, 0.001000, 97.150000, 55.340000, 30000
1, 10.000000, 0.001000, 97.220000, 53.360000, 30000
1, 11.000000, 0.001000, 97.210000, 52.350000, 30000
1, 12.000000, 0.001000, 97.350000, 50.090000, 30000
1, 13.000000, 0.001000, 97.350000, 49.900000, 30000
1, 14.000000, 0.001000, 97.380000, 48.480000, 30000
1, 15.000000, 0.001000, 97.420000, 47.880000, 30000
1, 16.000000, 0.001000, 97.530000, 46.190000, 30000
1, 17.000000, 0.001000, 97.450000, 46.650000, 30000
1, 18.000000, 0.001000, 97.460000, 45.780000, 30000
1, 19.000000, 0.001000, 97.480000, 45.950000, 30000
