task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task
1, 0.000000, 0.001000, 73.980000, 83.830000
1, 1.000000, 0.001000, 94.750000, 80.650000
1, 2.000000, 0.001000, 95.540000, 78.400000
1, 3.000000, 0.001000, 95.720000, 76.620000
1, 4.000000, 0.001000, 95.890000, 75.390000
1, 5.000000, 0.001000, 96.300000, 74.290000
1, 6.000000, 0.001000, 95.930000, 73.120000
1, 7.000000, 0.001000, 95.890000, 72.580000
1, 8.000000, 0.001000, 96.280000, 72.010000
1, 9.000000, 0.001000, 96.300000, 70.480000
1, 10.000000, 0.001000, 96.530000, 68.650000
1, 11.000000, 0.001000, 96.440000, 68.220000
1, 12.000000, 0.001000, 96.730000, 68.840000
1, 13.000000, 0.001000, 96.430000, 67.170000
1, 14.000000, 0.001000, 96.950000, 67.230000
1, 15.000000, 0.001000, 96.540000, 69.440000
1, 16.000000, 0.001000, 97.010000, 65.410000
1, 17.000000, 0.001000, 97.000000, 65.260000
1, 18.000000, 0.001000, 97.100000, 64.620000
1, 19.000000, 0.001000, 97.130000, 64.180000
