task_no ,ewc_lambda, lr, acc_old_tasks, acc_new_task
1, 0.000000, 0.001000, 13.740000, 78.510000
1, 1.000000, 0.001000, 37.820000, 69.880000
1, 2.000000, 0.001000, 48.310000, 67.130000
1, 3.000000, 0.001000, 57.890000, 65.220000
1, 4.000000, 0.001000, 59.620000, 62.090000
1, 5.000000, 0.001000, 66.820000, 59.540000
1, 6.000000, 0.001000, 68.740000, 60.010000
1, 7.000000, 0.001000, 72.060000, 57.890000
1, 8.000000, 0.001000, 76.900000, 55.300000
1, 9.000000, 0.001000, 78.540000, 53.730000
1, 10.000000, 0.001000, 78.140000, 53.120000
1, 11.000000, 0.001000, 82.510000, 50.750000
1, 12.000000, 0.001000, 81.870000, 49.230000
1, 13.000000, 0.001000, 84.030000, 47.860000
1, 14.000000, 0.001000, 84.300000, 46.670000
1, 15.000000, 0.001000, 84.650000, 45.820000
1, 16.000000, 0.001000, 85.750000, 44.260000
1, 17.000000, 0.001000, 86.250000, 44.280000
1, 18.000000, 0.001000, 86.680000, 43.180000
1, 19.000000, 0.001000, 87.030000, 43.440000
1, 20.000000, 0.001000, 87.690000, 42.510000
1, 21.000000, 0.001000, 87.980000, 41.340000
1, 22.000000, 0.001000, 88.130000, 40.480000
1, 23.000000, 0.001000, 88.930000, 40.740000
1, 24.000000, 0.001000, 88.940000, 40.310000
1, 25.000000, 0.001000, 88.760000, 40.350000
1, 26.000000, 0.001000, 89.060000, 40.430000
1, 27.000000, 0.001000, 89.310000, 39.110000
1, 28.000000, 0.001000, 89.300000, 39.710000
1, 29.000000, 0.001000, 89.800000, 38.790000
1, 30.000000, 0.001000, 89.790000, 38.310000
1, 31.000000, 0.001000, 89.760000, 38.110000
1, 32.000000, 0.001000, 89.980000, 38.540000
1, 33.000000, 0.001000, 90.380000, 37.910000
1, 34.000000, 0.001000, 90.020000, 37.970000
1, 35.000000, 0.001000, 90.470000, 37.120000
1, 36.000000, 0.001000, 90.320000, 36.760000
1, 37.000000, 0.001000, 90.510000, 36.320000
1, 38.000000, 0.001000, 90.620000, 35.850000
1, 39.000000, 0.001000, 90.730000, 36.060000
