0,1,60000,50,50,0.010000,0.00,98.73,98.78,38.00,33.33,38.00,33.33,98.73,98.78,38.00,33.33,38.00,33.33,9.93,10.32,100.00,100.00,100.00,100.00 
1,0,60000,50,100,0.010000,0.00,98.73,98.78,38.00,25.00,38.00,29.17,9.93,10.32,0.00,0.00,50.00,50.00,22.53,23.15,100.00,100.00,100.00,95.83 
2,1,60000,50,150,0.010000,0.00,98.73,98.78,44.00,50.00,40.00,36.11,22.53,23.15,0.00,0.00,66.67,63.89,41.78,41.81,98.00,91.67,98.00,88.89 
3,0,60000,50,200,0.010000,0.00,98.73,98.78,38.00,50.00,39.50,39.58,41.78,41.81,6.00,0.00,75.00,66.67,53.70,54.61,92.00,100.00,92.00,81.25 
4,1,60000,50,250,0.010000,0.00,98.73,98.78,30.00,33.33,37.60,38.33,53.70,54.61,38.00,25.00,81.20,70.00,49.47,50.67,98.00,66.67,89.60,75.00 
5,0,60000,50,300,0.010000,0.00,98.73,98.78,44.00,33.33,38.67,37.50,49.47,50.67,2.00,0.00,75.00,62.50,57.03,58.55,100.00,75.00,92.67,80.56 
6,2,60000,50,350,0.010000,0.00,98.73,98.78,38.00,8.33,38.57,33.33,57.03,58.55,48.00,33.33,86.29,73.81,63.07,64.81,98.00,100.00,94.57,88.10 
7,0,60000,50,400,0.010000,0.00,98.73,98.78,36.00,50.00,38.25,35.42,63.07,64.81,0.00,0.00,82.75,77.08,70.14,71.31,76.00,58.33,92.00,81.25 
8,2,60000,50,450,0.010000,0.00,98.73,98.78,46.00,58.33,39.11,37.96,70.14,71.31,28.00,58.33,84.89,78.70,68.92,69.99,96.00,83.33,89.78,72.22 
9,2,60000,50,500,0.010000,0.00,98.73,98.78,56.00,33.33,40.80,37.50,68.92,69.99,0.00,0.00,80.80,65.00,80.46,81.26,30.00,16.67,82.00,70.00 
10,0,60000,50,550,0.010000,0.00,98.73,98.78,36.00,41.67,40.36,37.88,80.46,81.26,8.00,16.67,75.27,65.15,79.68,80.66,76.00,66.67,83.27,69.70 
11,2,60000,50,600,0.010000,0.00,98.73,98.78,36.00,25.00,40.00,36.81,79.68,80.66,0.00,0.00,76.33,63.89,91.88,92.16,60.00,50.00,82.17,68.06 
12,0,60000,50,650,0.010000,0.00,98.73,98.78,36.00,25.00,39.69,35.90,91.88,92.16,46.00,41.67,79.38,66.03,91.87,92.20,90.00,83.33,81.54,66.03 
0,1,60000,50,50,0.010000,0.00,98.77,98.79,42.00,33.33,42.00,33.33,98.77,98.79,42.00,33.33,42.00,33.33,9.93,10.32,100.00,100.00,100.00,100.00 
1,0,60000,50,100,0.010000,0.00,98.77,98.79,38.00,25.00,40.00,29.17,9.93,10.32,0.00,0.00,50.00,50.00,21.32,21.97,100.00,100.00,100.00,95.83 
2,1,60000,50,150,0.010000,0.00,98.77,98.79,46.00,50.00,42.00,36.11,21.32,21.97,0.00,0.00,66.67,63.89,39.66,40.19,100.00,91.67,98.67,91.67 
3,0,60000,50,200,0.010000,0.00,98.77,98.79,38.00,50.00,41.00,39.58,39.66,40.19,2.00,0.00,74.50,68.75,55.27,56.31,94.00,100.00,94.50,83.33 
4,1,60000,50,250,0.010000,0.00,98.77,98.79,30.00,33.33,38.80,38.33,55.27,56.31,30.00,8.33,81.60,68.33,48.23,49.50,98.00,83.33,90.00,80.00 
5,0,60000,50,300,0.010000,0.00,98.77,98.79,42.00,33.33,39.33,37.50,48.23,49.50,2.00,0.00,75.33,66.67,57.39,58.54,100.00,83.33,94.33,86.11 
6,2,60000,50,350,0.010000,0.00,98.77,98.79,38.00,8.33,39.14,33.33,57.39,58.54,40.00,25.00,86.57,77.38,60.69,61.90,98.00,100.00,94.86,89.29 
7,0,60000,50,400,0.010000,0.00,98.77,98.79,36.00,50.00,38.75,35.42,60.69,61.90,0.00,0.00,83.00,78.12,70.53,71.70,74.00,58.33,92.00,84.38 
8,2,60000,50,450,0.010000,0.00,98.77,98.79,48.00,58.33,39.78,37.96,70.53,71.70,24.00,58.33,84.44,81.48,68.12,69.40,96.00,83.33,90.22,69.44 
9,2,60000,50,500,0.010000,0.00,98.77,98.79,58.00,33.33,41.60,37.50,68.12,69.40,0.00,0.00,81.20,62.50,80.57,81.40,28.00,16.67,82.60,68.33 
10,0,60000,50,550,0.010000,0.00,98.77,98.79,36.00,41.67,41.09,37.88,80.57,81.40,6.00,16.67,75.64,63.64,80.05,80.95,78.00,75.00,83.64,70.45 
11,2,60000,50,600,0.010000,0.00,98.77,98.79,40.00,25.00,41.00,36.81,80.05,80.95,0.00,0.00,76.67,64.58,91.22,91.71,60.00,50.00,81.83,68.75 
12,0,60000,50,650,0.010000,0.00,98.77,98.79,36.00,25.00,40.62,35.90,91.22,91.71,46.00,50.00,79.08,67.31,91.91,92.51,92.00,75.00,81.54,65.38 
